2022-10-13 12:31:55 INFO     initialize serial...
2022-10-13 12:31:55 INFO     initialize mqtt...
2022-10-13 12:31:55 INFO     waiting MQTT connected ...
2022-10-13 12:31:55 INFO     MQTT connect successful!
2022-10-13 12:33:19 INFO     publish to HA:   sds/light/15/power8/state = OFF (b07915005c)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power1/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power2/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power3/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power4/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power5/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power6/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power7/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/16/power8/state = OFF (b07916005f)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power1/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power2/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power3/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power4/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power5/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power6/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power7/state = OFF (b079310078)
2022-10-13 12:33:20 INFO     publish to HA:   sds/light/31/power8/state = OFF (b079310078)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power1/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power2/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power3/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power4/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power5/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power6/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power7/state = OFF (b07914005d)
2022-10-13 12:33:21 INFO     publish to HA:   sds/light/14/power8/state = OFF (b07914005d)
2022-10-13 12:33:23 INFO     Add new device:  homeassistant/sensor/sds_wallpad/sds_gas_valve_1/config
2022-10-13 12:33:25 INFO     publish to HA:   sds/gas_valve/1/power/state = 열림 (ad56007b)
2022-10-13 12:33:28 INFO     Add new device:  All done.
2022-10-13 12:34:09 INFO     initialize serial...
2022-10-13 12:34:09 INFO     initialize mqtt...
2022-10-13 12:34:09 INFO     waiting MQTT connected ...
2022-10-13 12:34:09 INFO     MQTT connect successful!
2022-10-13 12:34:09 INFO     Add new device:  homeassistant/switch/sds_wallpad/sds_elevator/config
2022-10-13 12:34:09 INFO     initial state:   sds/virtual/entrance/ev/state = OFF
2022-10-13 12:34:09 INFO     Add new device:  homeassistant/switch/sds_wallpad/sds_gas_cutoff/config
2022-10-13 12:34:09 INFO     initial state:   sds/virtual/entrance/gas/state = OFF
2022-10-13 12:34:09 INFO     subscribe homeassistant/status
2022-10-13 12:34:09 INFO     subscribe sds/virtual/+/+/command
2022-10-13 12:34:09 INFO     subscribe sds/+/+/+/command
2022-10-13 12:34:10 INFO     start loop ...
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_5/config
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_6/config
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_1/config
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_2/config
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_3/config
2022-10-13 12:34:10 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_4/config
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power1/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power2/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power3/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power4/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power5/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power6/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power7/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/14/power8/state = OFF (b07914005d)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power1/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power2/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power3/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power4/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power5/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power6/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power7/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/15/power8/state = OFF (b07915005c)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power1/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power2/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power3/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power4/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power5/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power6/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power7/state = OFF (b07916005f)
2022-10-13 12:34:10 INFO     publish to HA:   sds/light/16/power8/state = OFF (b07916005f)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power1/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power2/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power3/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power4/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power5/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power6/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power7/state = OFF (b079310078)
2022-10-13 12:34:11 INFO     publish to HA:   sds/light/31/power8/state = OFF (b079310078)
2022-10-13 12:34:18 INFO     Add new device:  All done.
2022-10-13 12:34:20 INFO     publish to HA:   sds/gas_valve/1/power/state = 열림 (ad56007b)
2022-10-13 12:36:14 INFO     initialize serial...
2022-10-13 12:36:14 WARNING  packet dump for 30 seconds!
2022-10-13 12:36:14 INFO     ,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:14 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A641006700: B0410071,  AC79000653: B07916005F,  AD41006C: B0560066
2022-10-13 12:36:14 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B0791600005F,  AD56007B: B0410071
2022-10-13 12:36:14 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
